[BrainGB]
avg_mse=12.9159 +-  0.5536, avg_mae=2.8247 +-  0.0410, avg_corr=0.2862 +-  0.0227
avg_mse=13.3497 +-  0.5797, avg_mae=2.8684 +-  0.0559, avg_corr=0.2620 +-  0.0314
avg_mse=13.4053 +-  0.6461, avg_mae=2.8773 +-  0.0703, avg_corr=0.2534 +-  0.0317
avg_mse=13.3496 +-  0.6810, avg_mae=2.8760 +-  0.0751, avg_corr=0.2498 +-  0.0253
avg_mse=13.3518 +-  0.6860, avg_mae=2.8734 +-  0.0677, avg_corr=0.2455 +-  0.0308
avg_mse=13.3988 +-  0.6037, avg_mae=2.8796 +-  0.0553, avg_corr=0.2453 +-  0.0261
avg_mse=13.3622 +-  0.6319, avg_mae=2.8801 +-  0.0647, avg_corr=0.2423 +-  0.0273
avg_mse=13.2173 +-  0.7715, avg_mae=2.8551 +-  0.0639, avg_corr=0.2558 +-  0.0278


[GIN]
avg_mse=12.5009 +-  0.5546, avg_mae=2.7789 +-  0.0502, avg_corr=0.3087 +-  0.0233
avg_mse=15.9519 +-  0.8602, avg_mae=3.1245 +-  0.0767, avg_corr=0.1749 +-  0.0372
avg_mse=17.7332 +-  0.7672, avg_mae=3.2860 +-  0.0548, avg_corr=0.1521 +-  0.0304
avg_mse=18.5885 +-  1.0562, avg_mae=3.3802 +-  0.0943, avg_corr=0.1439 +-  0.0275
avg_mse=19.6731 +-  0.8606, avg_mae=3.4793 +-  0.0913, avg_corr=0.1365 +-  0.0295
avg_mse=19.9651 +-  0.6488, avg_mae=3.5075 +-  0.0450, avg_corr=0.1312 +-  0.0215
avg_mse=21.1559 +-  1.4150, avg_mae=3.6007 +-  0.0807, avg_corr=0.1248 +-  0.0301
avg_mse=24.3114 +-  1.9242, avg_mae=3.8581 +-  0.1396, avg_corr=0.1018 +-  0.0307
avg_mse=26.6692 +-  1.6664, avg_mae=4.0421 +-  0.1209, avg_corr=0.0971 +-  0.0204
avg_mse=28.9866 +-  2.8439, avg_mae=4.1394 +-  0.2011, avg_corr=0.0838 +-  0.0222


[GraphSage]
avg_mse=12.3714 +-  0.5525, avg_mae=2.7632 +-  0.0503, avg_corr=0.3248 +-  0.0295
avg_mse=12.5204 +-  0.5753, avg_mae=2.7791 +-  0.0525, avg_corr=0.3079 +-  0.0307
avg_mse=12.5913 +-  0.5762, avg_mae=2.7857 +-  0.0521, avg_corr=0.3001 +-  0.0306
avg_mse=12.6315 +-  0.5809, avg_mae=2.7894 +-  0.0514, avg_corr=0.2952 +-  0.0300
avg_mse=12.6571 +-  0.5801, avg_mae=2.7919 +-  0.0516, avg_corr=0.2920 +-  0.0296
avg_mse=12.6757 +-  0.5836, avg_mae=2.7934 +-  0.0520, avg_corr=0.2898 +-  0.0296
avg_mse=12.6937 +-  0.5890, avg_mae=2.7952 +-  0.0528, avg_corr=0.2880 +-  0.0299
avg_mse=12.7500 +-  0.5840, avg_mae=2.8038 +-  0.0535, avg_corr=0.2861 +-  0.0285
avg_mse=12.7109 +-  0.5365, avg_mae=2.7943 +-  0.0403, avg_corr=0.2892 +-  0.0282
avg_mse=12.6891 +-  0.5260, avg_mae=2.7903 +-  0.0401, avg_corr=0.2931 +-  0.0296


[NeuroGraph]
avg_mse=12.8261 +-  0.5514, avg_mae=2.8137 +-  0.0476, avg_corr=0.2998 +-  0.0259
avg_mse=12.7404 +-  0.4924, avg_mae=2.8050 +-  0.0344, avg_corr=0.3103 +-  0.0216
avg_mse=12.7113 +-  0.4837, avg_mae=2.7953 +-  0.0415, avg_corr=0.3103 +-  0.0256
avg_mse=12.6211 +-  0.5668, avg_mae=2.7861 +-  0.0467, avg_corr=0.3128 +-  0.0237
avg_mse=12.6450 +-  0.4407, avg_mae=2.7974 +-  0.0409, avg_corr=0.3154 +-  0.0232
avg_mse=12.7016 +-  0.5696, avg_mae=2.7965 +-  0.0514, avg_corr=0.3120 +-  0.0216
avg_mse=12.6064 +-  0.4743, avg_mae=2.7910 +-  0.0442, avg_corr=0.3179 +-  0.0315
avg_mse=12.6045 +-  0.4427, avg_mae=2.7886 +-  0.0345, avg_corr=0.3121 +-  0.0214
avg_mse=12.6979 +-  0.5102, avg_mae=2.7926 +-  0.0458, avg_corr=0.3034 +-  0.0277
avg_mse=12.6410 +-  0.5207, avg_mae=2.7952 +-  0.0523, avg_corr=0.3138 +-  0.0292


[BrainNetTF]
avg_mse=12.4157 +-  0.5103, avg_mae=2.7711 +-  0.0551, avg_corr=0.3378 +-  0.0285
avg_mse=12.3655 +-  0.5235, avg_mae=2.7680 +-  0.0508, avg_corr=0.3469 +-  0.0209
avg_mse=12.4601 +-  0.5369, avg_mae=2.7799 +-  0.0418, avg_corr=0.3429 +-  0.0190
avg_mse=12.2184 +-  0.4819, avg_mae=2.7459 +-  0.0451, avg_corr=0.3456 +-  0.0187
avg_mse=12.3270 +-  0.5999, avg_mae=2.7637 +-  0.0613, avg_corr=0.3446 +-  0.0164
avg_mse=12.3448 +-  0.5939, avg_mae=2.7639 +-  0.0596, avg_corr=0.3423 +-  0.0164
avg_mse=12.2947 +-  0.6302, avg_mae=2.7565 +-  0.0588, avg_corr=0.3410 +-  0.0200
avg_mse=12.3740 +-  0.5783, avg_mae=2.7687 +-  0.0488, avg_corr=0.3449 +-  0.0215
avg_mse=12.4022 +-  0.5473, avg_mae=2.7711 +-  0.0529, avg_corr=0.3407 +-  0.0268
avg_mse=12.3628 +-  0.6068, avg_mae=2.7666 +-  0.0653, avg_corr=0.3461 +-  0.0188



[woNeuroGraph]
avg_mse=12.9709 +-  0.5579, avg_mae=2.8305 +-  0.0545, avg_corr=0.2563 +-  0.0263
avg_mse=13.0391 +-  0.4882, avg_mae=2.8470 +-  0.0423, avg_corr=0.2466 +-  0.0362
avg_mse=13.1138 +-  0.4660, avg_mae=2.8475 +-  0.0395, avg_corr=0.2374 +-  0.0252
avg_mse=13.0921 +-  0.5142, avg_mae=2.8438 +-  0.0440, avg_corr=0.2399 +-  0.0224
avg_mse=13.1388 +-  0.4714, avg_mae=2.8525 +-  0.0404, avg_corr=0.2370 +-  0.0292
avg_mse=13.1015 +-  0.5257, avg_mae=2.8465 +-  0.0539, avg_corr=0.2350 +-  0.0370
avg_mse=13.1720 +-  0.5593, avg_mae=2.8555 +-  0.0446, avg_corr=0.2308 +-  0.0295
avg_mse=13.1906 +-  0.5318, avg_mae=2.8590 +-  0.0499, avg_corr=0.2193 +-  0.0310
avg_mse=13.3281 +-  0.5567, avg_mae=2.8763 +-  0.0510, avg_corr=0.1973 +-  0.0377
avg_mse=13.4539 +-  0.5508, avg_mae=2.8886 +-  0.0407, avg_corr=0.1863 +-  0.0386


[woBrainNetTF]
avg_mse=12.4736 +-  0.5790, avg_mae=2.7822 +-  0.0497, avg_corr=0.3211 +-  0.0335
avg_mse=12.5233 +-  0.5334, avg_mae=2.7789 +-  0.0430, avg_corr=0.3105 +-  0.0206
avg_mse=12.7211 +-  0.6309, avg_mae=2.7959 +-  0.0460, avg_corr=0.2923 +-  0.0239
avg_mse=12.6648 +-  0.5598, avg_mae=2.7897 +-  0.0519, avg_corr=0.2998 +-  0.0181
avg_mse=12.6778 +-  0.5886, avg_mae=2.7945 +-  0.0655, avg_corr=0.2981 +-  0.0232
avg_mse=12.7623 +-  0.5084, avg_mae=2.8002 +-  0.0490, avg_corr=0.2885 +-  0.0208
avg_mse=12.7659 +-  0.5408, avg_mae=2.7976 +-  0.0547, avg_corr=0.2848 +-  0.0293
avg_mse=12.9931 +-  0.7095, avg_mae=2.8269 +-  0.0653, avg_corr=0.2597 +-  0.0487
avg_mse=12.8544 +-  0.6247, avg_mae=2.8114 +-  0.0600, avg_corr=0.2763 +-  0.0289
avg_mse=12.9958 +-  0.5113, avg_mae=2.8254 +-  0.0443, avg_corr=0.2591 +-  0.0371


